"Type","Bai","Cong","Pan","Hai","Hua","Huang","Li","Nan","Tian","Yue","Area","B","L","R","Floor","HH","HM","Brand","cluster"
1,0,0,0,1,0,0,0,0,0,0,32,1,1,1,9,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,93,4,1,1,7,0,0,1,2
1,0,0,1,0,0,0,0,0,0,0,59,2,1,1,19,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,12,4,1,1,15,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,182,5,2,3,15,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,6,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,80,4,1,1,9,0,0,1,4
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,31,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,60,2,1,1,7,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,12,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,60,2,1,1,7,1,0,1,4
0,0,0,0,0,0,0,0,0,1,0,16,4,1,2,25,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,61,2,1,1,9,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,12,3,1,1,26,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,77,2,2,1,28,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,65,2,1,1,9,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,10,4,1,2,32,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,40,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,74,1,1,0,15,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,96,3,2,1,22,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,55,2,1,1,6,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,56,1,1,1,41,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,9,4,1,1,32,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,86,2,1,1,19,0,1,1,4
0,0,0,0,0,0,1,0,0,0,0,8,5,1,2,28,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,57,2,1,1,19,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,99,3,2,2,18,0,0,1,3
1,0,0,1,0,0,0,0,0,0,0,75,2,1,1,8,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,63,1,1,1,20,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,57,2,0,1,26,1,0,1,4
1,0,0,0,0,0,0,1,0,0,0,25,1,1,1,21,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,45,1,1,1,26,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,13,4,1,1,11,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,40,1,1,1,5,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,8,4,1,1,9,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,50,1,1,1,20,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,11,3,1,1,7,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,58,3,1,2,26,0,1,1,3
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,12,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,83,3,0,1,9,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,7,5,1,2,29,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,100,2,1,1,17,0,1,1,4
0,1,0,0,0,0,0,0,0,0,0,7,4,1,2,18,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,50,1,1,1,30,0,0,1,2
0,0,0,0,1,0,0,0,0,0,0,17,4,1,2,13,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,98,3,2,1,23,0,1,1,3
0,0,0,0,0,0,0,0,0,0,1,11,5,1,2,29,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,42,1,1,0,29,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,40,1,1,1,6,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,114,4,2,2,7,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,67,2,2,1,9,1,0,1,4
1,0,0,0,0,0,1,0,0,0,0,100,3,2,1,9,0,1,1,3
0,0,0,0,1,0,0,0,0,0,0,10,3,1,1,9,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,60,1,0,1,33,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,6,4,1,1,11,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1,65,3,1,1,9,1,0,1,4
1,0,0,0,0,0,0,0,0,1,0,50,1,1,1,23,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,80,2,1,1,11,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,60,2,1,1,9,0,0,1,2
1,0,0,0,0,0,1,0,0,0,0,100,3,1,2,32,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,50,1,1,1,9,0,0,1,4
1,0,0,1,0,0,0,0,0,0,0,100,3,2,1,23,0,0,1,3
0,0,0,0,0,0,0,0,0,0,1,8,4,1,3,36,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,30,1,0,1,10,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,32,1,1,1,22,0,1,0,2
1,0,0,0,0,0,0,0,0,1,0,94,2,1,1,46,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,7,4,1,2,16,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,48,2,1,1,8,0,0,1,4
0,1,0,0,0,0,0,0,0,0,0,14,4,1,2,12,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,85,2,2,1,13,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,8,3,1,1,13,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,59,2,1,1,9,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,18,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,76,2,1,1,9,0,0,1,2
1,0,0,0,0,0,0,0,0,0,1,80,3,1,1,9,0,1,1,4
1,0,0,0,0,0,0,0,0,1,0,94,2,2,1,46,0,1,1,3
1,0,0,0,0,0,0,0,0,0,0,103,4,2,2,27,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,76,2,1,1,18,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,64,2,1,1,29,1,0,1,2
1,0,0,0,0,0,0,0,1,0,0,574,1,1,1,3,0,0,1,3
1,0,0,0,0,0,1,0,0,0,0,72,2,1,1,17,0,0,1,2
1,0,0,0,0,0,0,0,1,0,0,50,1,1,1,27,0,1,1,2
1,0,0,0,0,0,0,0,0,0,0,96,3,2,2,33,1,0,1,3
1,0,0,0,0,0,0,0,0,1,0,73,2,1,1,36,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,66,2,2,1,9,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,87,3,2,2,9,0,0,1,3
1,0,0,0,1,0,0,0,0,0,0,40,1,1,1,4,0,0,1,2
1,0,0,0,1,0,0,0,0,0,0,68,2,1,1,26,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,100,3,2,2,13,0,0,1,3
1,0,0,0,0,0,0,0,0,1,0,123,3,2,1,18,0,0,1,3
1,0,0,0,0,0,0,1,0,0,0,49,3,1,1,36,0,1,1,2
1,0,0,0,0,0,0,0,0,0,0,127,4,2,2,32,1,0,1,3
1,0,0,0,0,0,1,0,0,0,0,60,1,1,1,33,0,0,1,2
1,0,0,0,1,0,0,0,0,0,0,49,1,0,1,39,1,0,1,2
1,0,0,0,0,0,1,0,0,0,0,86,3,1,1,8,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,95,3,2,1,29,0,1,1,3
1,0,0,1,0,0,0,0,0,0,0,77,2,1,1,22,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,32,1,1,1,6,0,1,1,2
1,0,0,0,0,0,0,1,0,0,0,170,3,2,1,28,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,130,3,2,2,29,0,1,1,3
1,0,0,0,0,0,0,0,1,0,0,91,3,2,2,33,1,0,1,3
0,0,0,0,0,0,1,0,0,0,0,12,4,1,1,17,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,44,1,1,1,8,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,60,2,1,1,9,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,9,4,1,2,12,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,54,2,1,1,9,1,0,1,2
1,0,0,0,0,0,1,0,0,0,0,90,3,1,1,18,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,112,3,1,1,19,0,1,1,2
1,0,0,0,0,0,0,0,0,0,0,99,3,2,1,31,1,0,1,3
1,0,0,0,0,0,0,0,0,1,0,90,3,1,1,8,0,1,1,2
0,0,0,0,0,0,0,1,0,0,0,11,4,1,2,60,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,121,3,2,2,11,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,106,4,2,3,18,1,0,1,3
0,1,0,0,0,0,0,0,0,0,0,13,4,1,1,13,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,7,4,1,1,7,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,54,2,1,1,9,1,0,1,4
1,0,0,1,0,0,0,0,0,0,0,92,2,2,1,23,0,0,1,3
0,0,0,0,0,0,0,1,0,0,0,7,4,1,2,31,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,85,2,1,1,8,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,76,2,2,1,13,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,45,1,1,1,6,1,0,1,2
1,0,0,0,0,0,0,0,0,0,0,109,0,1,1,13,0,1,1,2
1,0,0,0,0,0,0,0,0,0,0,83,3,2,1,27,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,68,2,1,1,15,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,95,3,1,1,13,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,12,4,1,1,11,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,36,2,1,1,9,0,0,1,2
1,0,0,1,0,0,0,0,0,0,0,70,2,2,1,7,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,15,4,1,2,26,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,73,3,1,1,9,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,75,2,1,1,9,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,75,2,2,1,9,1,0,1,2
0,0,0,0,0,0,0,0,0,0,0,13,4,1,2,18,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,101,3,2,1,28,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,76,3,1,1,7,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,7,5,1,2,30,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,17,4,1,2,32,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,12,4,1,1,8,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,107,4,2,3,30,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,90,3,2,1,9,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,14,3,1,2,39,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,100,3,2,1,18,1,0,1,4
0,0,0,1,0,0,0,0,0,0,0,9,5,1,2,7,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,8,4,1,2,21,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,16,4,1,2,19,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,32,5,1,2,7,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,118,3,2,2,31,0,0,1,3
0,0,0,1,0,0,0,0,0,0,0,9,5,1,2,7,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,7,4,1,1,8,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,50,1,1,1,17,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,66,3,1,1,9,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,8,4,1,2,23,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,82,1,1,1,31,0,0,1,2
0,0,0,0,0,0,0,1,0,0,0,11,4,1,1,40,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,135,4,2,2,26,0,1,1,3
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,11,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,72,2,1,1,11,0,0,1,2
0,0,0,0,0,0,0,0,0,1,0,6,3,1,1,12,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,144,3,2,2,42,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,15,3,1,1,12,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,45,2,1,1,9,1,0,1,2
0,0,0,1,0,0,0,0,0,0,0,14,4,1,1,7,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,12,3,1,2,7,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,80,2,2,1,32,0,0,1,2
0,0,0,1,0,0,0,0,0,0,0,10,4,1,2,6,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,10,4,1,2,18,0,0,0,1
