"Type","Bai","Cong","Pan","Hai","Hua","Huang","Li","Nan","Tian","Yue","Area","B","L","R","Floor","HH","HM","Brand","cluster"
1,0,0,0,0,0,0,0,0,1,0,123,3,2,2,28,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,85,3,2,1,8,0,1,1,4
1,0,0,0,1,0,0,0,0,0,0,268,5,2,3,32,1,0,1,3
0,0,0,1,0,0,0,0,0,0,0,8,5,1,2,6,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,73,2,1,1,9,0,0,1,2
1,0,0,0,1,0,0,0,0,0,0,94,3,1,1,11,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,11,4,1,1,11,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,74,2,1,1,10,0,0,1,2
1,0,0,0,0,0,0,0,0,0,1,80,4,1,1,9,0,1,1,4
1,0,0,0,0,0,0,0,0,1,0,127,7,1,2,9,1,0,1,3
1,0,0,0,0,0,0,0,0,1,0,115,3,2,3,15,0,0,1,3
1,0,0,1,0,0,0,0,0,0,0,64,2,1,1,7,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,40,1,1,1,9,0,0,1,2
0,0,0,1,0,0,0,0,0,0,0,13,4,1,1,7,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,9,4,1,1,9,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,68,2,1,1,9,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,40,1,0,1,7,1,0,1,2
1,0,0,0,0,1,0,0,0,0,0,60,2,1,1,8,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,306,5,2,2,6,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,90,3,2,1,9,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,110,2,1,1,9,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,12,4,1,1,10,1,0,0,1
1,0,0,0,0,0,0,1,0,0,0,52,2,1,1,9,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,81,1,1,1,30,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,48,1,1,1,30,1,0,1,2
0,0,0,0,0,0,1,0,0,0,0,10,4,1,1,7,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,9,5,1,2,25,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,13,5,1,2,28,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,93,1,0,1,12,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,37,1,1,0,6,0,1,1,2
1,0,0,0,0,0,0,0,1,0,0,115,4,2,2,11,0,0,1,3
1,0,0,0,0,0,0,1,0,0,0,37,2,1,1,9,1,0,1,2
1,0,0,0,0,0,0,0,1,0,0,92,3,2,2,33,0,0,1,3
1,1,0,0,0,0,0,0,0,0,0,60,2,1,1,9,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,87,3,1,2,13,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,17,4,1,2,11,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,12,4,1,2,11,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,47,2,1,1,9,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,13,4,1,2,17,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,105,3,2,3,26,0,0,1,3
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,33,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,13,4,1,2,25,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,25,1,0,1,3,0,0,1,4
0,0,0,0,0,0,0,0,0,1,0,8,3,1,1,10,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,70,3,1,1,10,1,0,1,2
1,0,0,0,0,0,0,1,0,0,0,97,2,1,1,11,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,70,2,1,1,33,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,94,2,2,1,20,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,114,4,2,2,39,0,0,1,3
1,0,0,0,0,0,1,0,0,0,0,92,3,1,1,28,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,78,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,120,4,2,3,33,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,56,1,1,1,26,0,0,1,2
0,0,0,0,0,0,0,0,0,1,0,14,4,1,2,10,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,37,1,1,1,9,0,0,0,4
1,0,0,0,0,0,0,0,0,1,0,33,1,1,1,30,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,88,2,1,1,30,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,9,4,1,1,8,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,117,3,2,2,11,0,1,1,3
1,0,0,0,0,0,1,0,0,0,0,52,1,0,0,30,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,116,3,2,1,26,0,0,1,3
1,0,0,0,0,0,0,0,0,1,0,93,2,2,1,29,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,143,3,2,2,9,1,0,1,3
0,0,0,0,1,0,0,0,0,0,0,9,4,1,2,13,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,89,2,1,1,46,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,8,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,50,1,0,1,9,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,71,2,1,1,29,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,125,3,2,2,23,0,0,1,3
0,0,0,0,0,0,0,0,0,1,0,7,4,1,2,29,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,51,1,0,1,23,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,10,2,1,1,9,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,35,1,0,1,18,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,35,1,1,1,22,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,70,2,2,1,9,0,0,1,2
0,0,0,0,0,0,0,0,0,1,0,8,3,1,1,21,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,93,3,2,1,18,0,1,1,3
0,0,0,0,1,0,0,0,0,0,0,5,5,1,2,18,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,8,4,1,1,33,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,70,2,1,1,28,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,97,3,2,2,14,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,143,5,1,1,30,0,1,1,4
0,0,0,0,0,0,0,1,0,0,0,7,4,1,1,34,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,60,2,1,1,8,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,60,2,1,1,9,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,25,1,0,1,6,1,0,1,2
1,0,0,0,0,0,0,1,0,0,0,42,2,1,1,3,0,0,1,2
0,0,0,0,0,0,0,0,0,1,0,7,3,1,1,15,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,33,1,1,1,33,0,1,1,2
1,0,0,0,0,0,1,0,0,0,0,93,3,2,1,33,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,132,4,2,2,27,0,0,1,3
0,0,0,0,0,0,0,0,0,1,0,10,4,1,1,30,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,7,4,1,2,23,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,87,2,1,1,24,0,0,1,2
1,0,0,0,0,0,0,0,0,0,1,34,2,1,1,8,0,0,1,4
1,0,0,1,0,0,0,0,0,0,0,41,1,1,1,25,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,103,3,1,1,8,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,80,3,2,1,5,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,73,2,1,1,9,0,0,1,2
1,0,0,0,0,0,0,0,0,0,1,97,3,1,2,38,0,0,1,4
1,0,0,0,1,0,0,0,0,0,0,197,4,2,3,29,0,1,1,3
1,0,0,0,0,1,0,0,0,0,0,57,1,1,1,18,0,0,1,2
0,0,0,1,0,0,0,0,0,0,0,16,4,1,2,19,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,14,4,1,2,19,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,101,3,2,1,21,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,81,3,2,1,11,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,58,2,1,2,22,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,9,3,1,1,26,1,0,0,1
1,0,0,0,0,0,0,0,1,0,0,106,3,2,2,33,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,7,4,1,2,13,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,71,2,1,1,9,1,0,1,2
0,0,0,1,0,0,0,0,0,0,0,12,3,1,2,7,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,151,4,2,3,29,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,42,1,0,0,22,0,0,1,2
0,0,0,1,0,0,0,0,0,0,0,13,4,1,2,17,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,65,3,1,1,9,1,0,1,4
1,0,0,0,0,0,0,1,0,0,0,80,3,1,1,7,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,33,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,45,2,1,1,4,0,1,1,4
1,1,0,0,0,0,0,0,0,0,0,100,3,2,2,9,0,1,1,3
0,0,0,0,0,0,0,1,0,0,0,6,4,1,2,18,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,12,4,1,2,18,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,95,3,1,1,9,0,0,1,2
1,0,0,1,0,0,0,0,0,0,0,103,3,2,2,8,0,0,1,3
0,0,0,0,0,0,0,0,0,0,1,12,3,1,1,20,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,15,5,1,2,18,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,80,2,2,1,5,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,70,2,1,1,17,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,5,5,1,2,18,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,137,4,2,2,20,0,1,1,3
0,0,0,0,0,0,0,1,0,0,0,17,4,1,2,30,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,99,3,2,2,18,0,0,1,3
1,0,0,0,0,0,0,0,0,0,1,64,2,1,1,5,0,1,1,4
1,1,0,0,0,0,0,0,0,0,0,160,5,2,2,18,1,0,1,3
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,33,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,23,1,1,2,30,0,0,1,2
0,0,0,0,0,0,0,0,0,1,0,11,4,1,1,9,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,15,4,1,2,5,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,65,2,1,1,25,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,95,3,2,2,8,0,1,1,3
0,0,0,0,0,0,0,1,0,0,0,6,5,1,2,24,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,83,3,2,1,27,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,68,2,1,1,15,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,95,3,1,1,13,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,36,2,1,1,9,0,0,1,2
1,0,0,1,0,0,0,0,0,0,0,70,2,2,1,7,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,73,3,1,1,9,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,12,4,1,1,8,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,75,2,1,1,9,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,95,2,2,1,7,1,0,1,3
1,0,0,0,0,0,0,0,0,1,0,107,3,2,2,11,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,99,3,2,1,16,1,0,1,3
0,0,0,0,0,0,0,0,0,1,0,8,4,1,2,28,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,120,3,1,2,19,1,0,1,3
1,0,0,0,0,0,0,0,0,0,0,53,1,0,1,28,1,0,1,2
0,0,0,1,0,0,0,0,0,0,0,10,4,1,2,9,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,16,3,1,1,19,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,7,4,1,2,23,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,8,5,1,2,23,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,68,3,2,2,20,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,15,4,1,2,29,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,9,3,1,1,33,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,13,4,1,1,6,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,92,1,1,1,17,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,13,4,1,1,6,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,30,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,80,2,1,1,9,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,30,1,1,1,12,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,48,1,2,1,22,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,11,3,1,1,8,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,60,2,1,1,13,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,78,2,1,1,9,1,0,1,2
1,0,0,0,0,0,0,0,0,0,1,49,1,1,1,8,1,0,1,4
1,0,0,0,1,0,0,0,0,0,0,80,2,1,1,18,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,60,2,1,1,6,1,0,1,2
1,0,0,0,0,0,1,0,0,0,0,92,4,2,3,37,0,0,1,3
1,1,0,0,0,0,0,0,0,0,0,68,2,1,1,13,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,43,1,0,1,27,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,91,2,1,1,20,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,160,3,2,2,35,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,128,4,1,2,17,0,1,1,3
0,0,0,0,1,0,0,0,0,0,0,9,4,1,1,19,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,43,1,1,1,24,0,1,1,4
0,0,0,1,0,0,0,0,0,0,0,8,4,1,2,7,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,80,3,2,1,9,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,80,2,1,1,27,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,108,3,1,1,29,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,11,4,1,2,25,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,14,4,1,1,18,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,106,3,1,2,7,0,1,1,3
0,0,0,1,0,0,0,0,0,0,0,12,4,1,2,9,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,57,1,1,1,23,0,1,1,2
0,0,0,1,0,0,0,0,0,0,0,9,4,1,1,11,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,9,3,1,1,6,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,12,4,1,2,28,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,30,2,1,1,7,0,0,1,4
1,0,0,0,0,0,0,0,0,1,0,41,1,1,1,31,0,0,1,2
1,0,0,0,1,0,0,0,0,0,0,90,2,2,1,27,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,15,4,1,2,24,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,55,1,0,1,23,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,5,5,1,2,13,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,92,3,2,2,31,0,1,1,3
0,0,0,0,0,0,0,1,0,0,0,6,3,1,1,31,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,25,1,0,1,6,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,83,2,1,1,12,0,0,1,2
1,0,0,0,0,0,0,1,0,0,0,25,2,1,1,21,0,1,1,2
1,0,0,0,0,0,1,0,0,0,0,95,3,2,1,31,0,1,1,3
1,0,0,0,0,0,0,0,0,0,0,74,2,2,1,32,0,0,1,3
1,1,0,0,0,0,0,0,0,0,0,35,1,1,1,8,1,0,1,2
1,0,0,0,0,0,0,0,0,0,1,92,3,2,1,24,0,1,1,4
1,0,0,1,0,0,0,0,0,0,0,39,1,1,1,14,1,0,1,2
0,0,0,0,0,0,1,0,0,0,0,11,3,1,1,33,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,93,3,2,2,9,1,0,1,3
0,0,0,0,0,0,0,1,0,0,0,9,3,1,1,29,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,47,1,1,1,27,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,6,4,1,2,32,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,102,3,2,2,30,0,0,1,3
1,0,0,0,1,0,0,0,0,0,0,80,2,1,1,18,0,0,1,2
1,0,0,0,1,0,0,0,0,0,0,70,2,1,1,4,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,41,1,1,1,9,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,9,4,1,1,9,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,82,2,2,1,28,1,0,1,3
0,0,0,0,0,0,0,0,0,1,0,11,4,1,1,9,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,114,4,2,2,7,1,0,1,3
1,0,0,0,1,0,0,0,0,0,0,50,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,50,1,1,1,25,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,43,1,0,1,30,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,90,2,1,1,9,0,1,1,2
0,0,0,1,0,0,0,0,0,0,0,16,4,1,2,16,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,70,3,1,1,6,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,60,2,1,1,9,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,115,3,2,2,5,0,1,1,3
0,0,0,1,0,0,0,0,0,0,0,7,5,1,2,6,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,9,4,1,2,7,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,12,3,1,1,16,1,0,0,1
1,0,0,0,0,0,0,1,0,0,0,210,5,3,3,4,0,0,1,3
1,0,0,0,0,0,0,1,0,0,0,34,1,1,1,17,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,90,2,1,1,26,1,0,1,2
1,0,0,0,0,0,0,1,0,0,0,136,4,2,2,20,1,0,1,3
1,0,0,0,0,0,0,0,1,0,0,100,1,1,1,23,0,1,1,2
0,0,0,1,0,0,0,0,0,0,0,9,4,1,1,23,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,82,5,1,2,22,1,0,1,3
1,0,0,1,0,0,0,0,0,0,0,40,2,1,1,23,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,140,2,1,1,33,1,0,1,2
1,0,0,0,0,1,0,0,0,0,0,120,3,2,1,9,1,0,1,3
1,0,0,0,0,0,0,0,1,0,0,67,2,1,1,28,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,30,1,1,1,4,0,1,1,2
0,0,0,0,0,0,0,0,0,0,0,36,4,1,3,23,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,78,3,1,1,9,0,0,1,4
1,0,0,0,0,0,0,0,0,1,0,39,1,1,1,23,0,1,0,2
1,0,0,0,0,0,0,1,0,0,0,110,3,2,2,42,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,93,4,2,1,6,0,0,1,3
1,0,0,0,0,0,0,0,0,0,0,92,3,2,2,27,1,0,1,3
0,0,0,0,0,0,0,0,0,0,0,20,4,1,3,23,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,120,5,2,2,26,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,100,4,1,1,9,1,0,1,4
0,0,0,0,0,0,0,0,0,1,0,8,3,1,1,32,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,87,3,1,1,19,0,1,1,2
0,0,0,0,0,0,1,0,0,0,0,9,4,1,1,18,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,13,4,1,2,31,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,109,3,2,2,28,0,0,1,3
0,0,0,0,0,0,0,0,0,1,0,10,4,1,1,12,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,71,2,1,1,17,1,0,1,2
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,29,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,9,4,1,2,26,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,88,4,1,2,7,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,11,4,1,1,26,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0,12,4,1,2,40,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,153,4,2,3,36,1,0,1,3
1,0,0,0,0,0,0,0,1,0,0,50,2,2,2,30,0,1,1,3
1,0,0,0,1,0,0,0,0,0,0,58,1,1,1,30,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,102,3,2,1,12,0,1,1,3
0,0,0,0,0,0,0,1,0,0,0,9,4,1,1,29,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,8,4,1,1,23,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,125,2,1,1,28,0,0,1,2
1,0,0,0,0,1,0,0,0,0,0,44,1,1,0,16,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,115,3,1,2,18,0,0,1,3
0,0,0,0,0,0,1,0,0,0,0,12,3,1,1,18,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,116,3,1,2,16,1,0,1,3
0,0,0,0,0,0,0,1,0,0,0,10,4,1,1,28,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,63,2,1,1,12,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,82,3,1,1,15,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,49,2,0,0,22,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,95,3,2,2,11,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,95,3,1,1,18,1,0,1,2
1,0,0,0,0,0,0,0,0,0,0,104,3,2,2,27,1,0,1,3
1,0,0,0,1,0,0,0,0,0,0,67,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,56,2,1,1,7,0,1,1,4
0,0,0,0,0,0,0,0,0,1,0,9,3,1,1,8,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,5,4,1,2,9,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,47,3,1,1,22,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,7,4,1,1,33,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,11,4,1,2,6,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,9,4,1,2,11,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,68,3,2,3,13,1,0,1,3
1,0,0,0,1,0,0,0,0,0,0,59,2,1,1,9,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,13,4,1,2,33,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,70,1,1,0,9,0,0,1,4
1,0,0,0,1,0,0,0,0,0,0,98,3,2,1,11,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,62,2,1,1,18,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,5,4,1,1,40,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,95,3,2,2,42,0,1,1,3
0,0,0,1,0,0,0,0,0,0,0,6,4,1,2,23,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,12,4,1,2,9,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,76,2,1,1,9,0,0,1,2
1,0,0,0,1,0,0,0,0,0,0,50,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,80,3,1,1,9,0,1,1,4
0,0,0,0,0,0,0,0,0,1,0,8,4,1,1,32,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,55,2,1,1,6,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,17,3,1,2,31,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,30,1,1,1,16,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,6,5,1,3,17,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,105,3,1,1,39,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,32,1,0,1,39,0,0,1,2
0,0,0,0,0,0,1,0,0,0,0,6,4,1,1,18,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,94,2,2,1,46,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,73,2,1,1,36,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,75,2,2,1,7,0,1,1,4
0,0,0,1,0,0,0,0,0,0,0,7,4,1,1,8,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,8,4,1,2,23,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,42,1,1,1,33,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,53,2,1,1,22,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,48,1,1,1,32,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,78,2,1,1,9,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,9,4,1,2,33,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,11,4,1,1,40,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,99,3,1,1,26,1,0,1,4
0,0,0,0,1,0,0,0,0,0,0,16,4,1,2,30,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,7,4,1,2,32,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,11,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,78,3,1,1,9,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,14,4,1,1,28,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,55,2,1,1,8,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,85,2,2,1,13,1,0,1,3
1,0,0,0,0,0,0,0,0,0,1,99,3,2,1,26,0,1,1,4
1,1,0,0,0,0,0,0,0,0,0,32,1,1,1,8,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,30,1,1,1,13,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,105,3,1,1,9,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,68,2,1,1,11,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,9,4,1,1,28,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,119,3,2,1,24,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,84,3,1,2,10,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,90,3,2,1,18,0,0,1,3
0,0,0,1,0,0,0,0,0,0,0,10,4,1,1,7,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,34,1,1,1,5,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,18,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,8,4,1,1,9,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,76,2,1,1,23,1,0,1,2
