"Cluster","N","Mean_rent","Median_rent","Mean_area","Mean_bedrooms","Mean_living_rooms","Mean_bathrooms","Mean_floor","Share_Type_1"
"1",385,1612.1038961039,1590,10.6753246753247,3.91428571428571,1,1.52207792207792,20.2051948051948,0
"2",1508,3847.0875331565,3450,62.1949602122016,1.78249336870027,0.948275862068966,1.00066312997347,16.1067639257294,0.999336870026525
"3",849,6697.98822143698,5000,115.942285041225,3.15194346289753,1.90106007067138,1.74911660777385,22.3910482921084,1
"4",258,4564.77906976744,4000,64.1434108527132,1.99612403100775,0.988372093023256,1.04263565891473,14.4186046511628,1
