"Model","N","R_squared","Adjusted_R_squared","Residual_SE"
"Benchmark levels model",3000,0.593086683342899,0.590492269578977,2747.72520082654
"Preferred levels model",2999,0.592873374150516,0.590551618820277,2747.97969993569
"Preferred log model",2999,0.78332982424029,0.782094200963566,0.291008931713261
